 BCID  ToA     TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z  tube_rho  drift_radius  
 1043  35223   34614   6            6                  5           2          0             34574   81200     190           
 1043  35242   34633   352          8                  1           6          2             693779  148807    167           
 1043  35262   34653   367          23                 4           6          2             722612  155192    182           
 1043  35267   34658   366          22                 3           6          2             719729  154776    186           
 1043  35270   34661   173          11                 3           6          0             372184  77583     214           
 1043  35285   34676   354          10                 2           6          2             696662  149223    202           
 1043  35299   34690   183          21                 6           6          0             391407  81616     231           
 1043  35307   34698   5            5                  0           2          0             32652   76334     246           
 1043  35315   34706   32           32                 0           1          2             72071   148391    238           
 1043  35321   34712   22           22                 4           1          1             53810   117416    247           
 1043  35325   34716   171          9                  1           6          0             368340  76751     248           
 1030  35332   34723   83           27                 4           2          1             172221  117416    414           
 1043  35351   34742   7            7                  7           2          0             36496   82032     269           
 1030  35358   34749   122          50                 3           2          2             246192  154776    417           
 1043  35361   34752   181          19                 4           6          0             387562  80783     266           
 1043  35362   34753   33           33                 4           1          2             74955   155192    263           
 1030  35368   34759   48           18                 3           2          0             115560  77583     427           
 1030  35376   34767   86           30                 3           2          1             177027  117000    426           
 1030  35398   34789   51           21                 6           2          0             121327  81616     435           
 1043  35424   34815   265          17                 0           6          1             525798  110615    293           
 1030  35448   34839   49           19                 7           2          0             118443  82032     450           
 1030  35474   34865   121          49                 3           2          2             244269  154776    450           
 1043  35481   34872   267          19                 2           6          1             529642  111447    318           
 1043  35494   34885   266          18                 2           6          1             527720  111447    323           
 1043  35522   34913   34           34                 3           1          2             75916   154776    335           
 1030  35528   34919   84           28                 3           2          1             173182  117000    470           
 1043  35534   34925   23           23                 3           1          1             54771   117000    344           
 1043  35565   34956   180          18                 4           6          0             385640  80783     353           
 1043  35565   34956   264          16                 0           6          1             523875  110615    350           
 1043  35579   34970   31           31                 1           1          2             71110   148807    357           
 1043  35614   35005   170          8                  1           6          0             366417  76751     371           
 1043  35666   35057   182          20                 6           6          0             389484  81616     388           
 1043  35720   35111   172          10                 3           6          0             370262  77583     405           
 1043  35854   35245   5            5                  2           2          0             32652   77167     448           
 1043  35867   35258   20           20                 1           1          1             49965   111031    449           
 1043  35924   35315   353          9                  2           6          2             694740  149223    454           
 1108  37157   36548   11           11                 5           1          1             31704   117832    22            
 1108  37166   36557   10           10                 2           1          1             29782   111447    35            
 1108  37268   36659   11           11                 3           1          1             31704   117000    149           
 1108  37268   36659   16           16                 0           1          2             41315   148391    140           
 1108  37282   36673   10           10                 0           1          1             29782   110615    164           
 1108  37286   36677   17           17                 4           1          2             44199   155192    156           
 1108  37423   36814   17           17                 3           1          2             43238   154776    253           
 1108  37451   36842   16           16                 1           1          2             42276   148807    269           
 1108  37467   36858   16           16                 2           1          2             41315   149223    277           
 1108  37717   37108   9            9                  1           1          1             28821   111031    380           
 1108  37762   37153   10           10                 4           1          1             30743   117416    394           
 1108  37780   37171   17           17                 5           1          2             43238   155608    396           
 1108  37827   37218   0            0                  6           2          0             22080   81616     417           
 1253  41905   41296   185          41                 2           3          2             368411  149223    124           
 1253  41913   41304   184          40                 1           3          2             367450  148807    133           
 1253  41920   41311   184          40                 0           3          2             366489  148391    141           
 1253  41937   41328   145          33                 3           3          1             291593  117000    168           
 1253  41959   41350   145          33                 4           3          1             292555  117416    186           
 1253  41969   41360   146          34                 5           3          1             293516  117832    194           
 1253  41994   41385   137          25                 0           3          1             276216  110615    214           
 1253  42025   41416   137          25                 1           3          1             277177  111031    233           
 1253  42049   41440   138          26                 2           3          1             278138  111447    248           
 1253  42074   41465   192          48                 4           3          2             382828  155192    257           
 1253  42105   41496   95           29                 7           3          0             208066  82032     282           
 1262  42105   41496   109          13                 1           4          0             246749  76751     52            
 1262  42112   41503   248          48                 2           4          2             490667  149223    30            
 1262  42115   41506   258          58                 3           4          2             509889  154776    31            
 1262  42118   41509   116          20                 5           4          0             261165  81200     65            
 1262  42138   41529   108          12                 0           4          0             245788  76334     91            
 1262  42144   41535   116          20                 4           4          0             260204  80783     96            
 1264  42144   41535   202          34                 2           4          1             402316  111447    2             
 1253  42151   41542   193          49                 5           3          2             383789  155608    292           
 1253  42157   41548   95           29                 6           3          0             207104  81616     306           
 1262  42158   41549   179          11                 0           4          1             358104  110615    100           
 1264  42162   41553   132          0                  4           5          0             292160  80783     43            
 1253  42166   41557   87           21                 0           3          0             192688  76334     311           
 1264  42169   41560   213          5                  3           5          1             424651  117000    37            
 1264  42170   41561   203          35                 2           4          1             404238  111447    40            
 1264  42173   41564   276          4                  2           5          2             545608  149223    28            
