 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  
 1748  57721   1    1        0      0.678295898438   3.90244712438  11      0       5            3731    4914    5394    7020    
 1756  57977   1    1        0      0.443627929688   3.71836942983  11      0       5            2327    3134    3452    4609    
 1788  59001   1    1        0      0.933728027344   3.75518496874  11      0       0            5494    0       0       10793   
 1797  59289   1    1        0      0.889892578125   3.87790343177  11      0       2            5165    6923    0       9995    
 1807  59609   1    1        0      0.170727539063   3.80427235396  11      0       5            871     1183    1302    1772    
 1820  60025   1    1        0      0.0942626953125  3.86563158547  11      0       5            493     677     730     960     
 1860  61305   1    1        0      0.420227050781   3.79200050765  11      0       5            2209    2975    3267    4292    
 1862  61369   1    1        0      0.355627441406   3.89017527808  9       0       5            1841    2444    2616    3310    
 1872  61689   1    1        0      0.9228515625     3.82881604656  11      0       5            5409    7261    7974    10599   
 1882  62009   1    1        0      0.793981933594   3.69382573723  11      0       2            4489    5982    0       8520    
 1884  62073   1    1        0      0.919226074219   3.81654420026  11      0       2            5380    7231    0       10352   
 1887  62169   1    1        0      0.502294921875   3.85335973917  11      0       5            2670    3587    3945    5139    
 1902  62649   1    1        0      0.204675292969   3.91471897068  11      0       5            1047    1421    1567    2112    
 1914  63033   1    1        0      0.474609375      3.90244712438  11      0       5            2525    3373    3706    4856    
 1926  63417   1    1        0      0.701696777344   3.76745681505  11      0       5            3885    5152    5629    7288    
 1953  64281   1    1        0      0.827600097656   3.74291312244  11      0       5            4725    6320    6908    9183    
 1964  64633   1    1        0      0.764318847656   3.77972866135  9       0       5            4276    5688    6158    7900    
 1971  64857   1    1        0      0.942626953125   3.86563158547  11      0       5            5556    7393    8140    10488   
 1989  65433   1    1        0      0.641711425781   3.82881604656  11      0       5            3511    4689    5166    6782    
 2003  65881   1    1        0      0.183581542969   3.75518496874  11      0       5            944     1275    1408    1874    
 2014  66233   1    1        0      0.467028808594   3.86563158547  7       0       5            2459    3214    3505    4394    
 2026  66617   1    1        0      0.0599853515625  3.74291312244  11      0       4            0       412     439     586     
 2063  67801   1    1        0      0.844738769531   3.74291312244  11      0       3            4843    0       7084    9319    
 2065  67865   1    1        0      0.213244628906   3.73064127614  11      0       5            1113    1487    1646    2112    
 2099  68953   1    1        0      0.162158203125   3.68155389093  11      0       2            827     1130    0       1738    
 2117  69529   1    1        0      0.0896484375     3.75518496874  11      0       5            457     624     704     960     
 2121  69657   1    1        0      0.760693359375   3.76745681505  11      0       5            4269    5703    6232    8121    
 2122  69689   1    1        0      0.0985473632813  3.81654420026  11      0       5            508     651     704     858     
 2158  70841   1    1        0      0.694775390625   3.85335973917  11      0       5            3830    5113    5614    7322    
 2164  71033   1    1        0      0.806176757813   3.89017527808  11      0       5            4579    6099    6687    8758    
 2166  71097   1    1        0      0.702026367188   3.81654420026  11      0       5            3888    5179    5703    7509    
 2198  72121   1    1        0      0.562609863281   3.74291312244  11      0       5            3033    4064    4450    5931    
 2210  72505   1    1        0      0.107116699219   3.80427235396  11      0       5            567     783     889     1230    
 2246  73657   1    1        0      0.521740722656   3.71836942983  7       0       5            2791    3680    4024    4997    
 2274  74553   1    1        0      0.305859375      3.85335973917  11      0       5            1584    2086    2271    2936    
 2302  75449   1    1        0      0.204675292969   3.75518496874  9       0       5            1047    1328    1434    1772    
 2314  75833   1    1        0      0.367492675781   3.79200050765  11      0       2            1929    2576    0       3578    
 2362  77369   1    1        0      0.371447753906   3.81654420026  2       0       5            1943    2737    3108    4574    
 2386  78137   1    1        0      0.604797363281   3.91471897068  11      0       4            0       4397    4848    6425    
 2416  79097   1    1        0      0.563269042969   3.87790343177  11      0       5            3033    4091    4477    5878    
 2421  79257   1    1        0      0.784753417969   3.76745681505  11      0       5            4423    5894    6423    8342    
 2449  80153   1    1        0      0.595568847656   3.89017527808  11      0       5            3231    4316    4702    6160    
 2450  80185   2    1        0      1.02370605469    3.80427235396  11      0       5            6167    8292    9058    11991   
 2450  80185   2    1        1      1.02370605469    3.80427235396  9       0       5            6167    8292    9058    11991   
