 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  event  
 955   32704   1    1        0      0.811427891254   559.277770996  20      0       5            4615    6173    6731    8826    3223   
 990   33824   1    1        0      0.0726412683725  863.265441895  20      1       5            383     545     624     926     12041  
 993   33920   1    1        0      0.212237969041   1011.27172852  20      0       2            1091    1448    0       2044    4018   
 1018  34720   1    1        0      0.115836940706   571.885009766  20      1       5            603     863     942     1296    15548  
 1019  34752   1    1        0      0.859157979488   542.78704834   20      1       2            4945    6687    0       9638    17453  
 1049  35712   1    1        0      0.544961631298   772.377746582  20      0       5            2923    3865    4210    5437    18465  
 1087  36928   1    1        0      0.778561770916   824.443725586  20      1       2            4393    5894    0       8622    23077  
 1125  38144   1    1        0      0.251379013062   656.052185059  20      1       5            1311    1752    1953    2562    7432   
 1143  38720   1    1        0      1.02282989025    588.586669922  20      0       5            6174    8246    8982    11691   7473   
 1148  38880   1    1        0      0.18793746829    703.184387207  20      0       5            973     1275    1381    1789    17210  
 1169  39552   1    1        0      0.238710045815   1007.10961914  20      1       5            1234    1673    1874    2562    16208  
 1177  39808   1    1        0      0.23438154161    837.345397949  20      1       2            1215    1620    0       2358    23790  
 1201  40576   1    1        0      0.834954738617   871.994384766  20      1       5            4777    6423    7040    9455    18405  
 1217  41088   1    1        0      0.591918706894   1015.63189697  20      1       2            3187    4316    0       6340    10124  
 1220  41184   1    1        0      0.29347845912    681.74017334   20      1       5            1522    2033    2245    2953    19654  
 1235  41664   1    1        0      0.400434017181   871.961914062  20      1       5            2107    2830    3121    4122    2555   
 1236  41696   1    1        0      1.0365036726     918.962036133  20      0       5            6284    8383    9206    11956   12219  
 1251  42176   1    1        0      0.486982226372   605.213806152  20      1       5            2591    3466    3839    5050    9300   
 1256  42336   1    1        0      0.475600302219   974.071655273  20      1       5            2525    3373    3759    4962    23539  
 1256  42336   1    1        0      0.60327911377    768.071960449  20      1       5            3253    4369    4781    6408    3811   
 1276  42976   1    1        0      0.334823489189   820.067199707  20      1       5            1731    2324    2563    3395    19321  
 1282  43168   1    1        0      0.255522936583   639.069580078  20      1       5            1318    1752    1927    2596    15182  
 1283  43200   1    1        0      0.230216473341   681.758239746  20      1       5            1193    1593    1779    2358    4898   
 1284  43232   1    1        0      0.280862718821   724.816650391  20      0       5            1452    1927    2112    2732    5758   
 1309  44032   1    1        0      0.297681301832   609.484863281  20      1       5            1547    2086    2298    3072    423    
 1316  44256   1    1        0      0.451541513205   626.408630371  20      1       5            2385    3201    3505    4733    1318   
 1330  44704   1    1        0      0.306034713984   729.08581543   20      0       5            1591    2112    2324    3038    1389   
 1331  44736   1    1        0      0.806440889835   742.13293457   20      1       1            4579    6144    6761    0       24053  
 1339  44992   1    1        0      0.803393721581   850.291381836  20      1       5            4556    6114    6717    8945    19448  
 1357  45568   1    1        0      0.162196338177   639.104370117  20      1       5            827     1116    1222    1636    13732  
 1376  46176   1    1        0      0.951602816582   910.433837891  20      1       2            5622    7525    0       10969   2299   
 1385  46464   1    1        0      0.611490607262   680.346496582  20      1       4            0       4437    4901    6578    8389   
 1402  47008   1    1        0      0.33501124382    994.83770752   20      1       5            1745    2351    2589    3476    12176  
 1430  47904   1    1        0      0.102867156267   559.575378418  20      0       5            537     704     757     926     7195   
 1440  48224   1    1        0      0.78528624773    759.354309082  20      1       5            4437    5997    6584    8826    24794  
 1442  48288   1    1        0      0.67391782999    799.377563477  20      0       5            3709    4927    5409    7088    1228   
 1467  49088   1    1        0      0.864488303661   927.531616211  20      1       3            4989    0       7349    9706    18945  
 1487  49728   1    1        0      0.318499594927   601.295837402  20      0       5            1657    2205    2404    3072    21769  
 1513  50560   1    1        0      0.145087972283   686.034484863  20      0       5            739     984     1063    1364    7991   
 1516  50656   1    1        0      0.187925174832   622.077819824  20      0       5            959     1275    1381    1738    21622  
 1517  50688   1    1        0      0.506833732128   953.045776367  20      1       5            2703    3667    4064    5454    9723   
 1552  51808   1    1        0      0.428139597178   876.214660645  20      0       5            2250    2975    3240    4156    15455  
 1567  52288   1    1        0      0.209155350924   927.517089844  20      1       5            1083    1461    1620    2180    577    
 1569  52352   1    1        0      0.768297970295   867.638000488  20      1       5            4320    5791    6349    8435    2625   
 1593  53120   1    1        0      0.486787289381   622.124389648  20      1       5            2583    3439    3812    5068    16940  
 1604  53472   1    1        0      0.975240945816   998.930053711  20      1       3            5814    0       8558    11426   10803  
 1653  55040   1    1        0      0.427771657705   768.05279541   20      0       5            2261    2949    3240    4156    12205  
 1668  55520   1    1        0      0.843569934368   690.153991699  20      0       5            4821    6408    6981    9098    19948  
 1676  55776   1    1        0      0.745017468929   880.561645508  20      0       5            4159    5570    6070    7934    18664  
 1677  55808   1    1        0      1.00492501259    927.764099121  20      0       1            6027    8034    8770    0       24498  
 1689  56192   1    1        0      0.780504286289   880.407958984  20      0       5            4401    5864    6423    8380    983    
 1700  56544   1    1        0      0.467575162649   978.156433105  20      0       5            2481    3293    3653    4768    7113   
 1702  56608   1    1        0      0.0899285078049  677.444519043  20      0       5            457     598     651     824     16017  
 1730  57504   1    1        0      0.259642779827   576.165039062  20      0       5            1340    1752    1900    2426    16817  
 1749  58112   1    1        0      0.375955730677   729.364196777  20      1       2            1951    2616    0       3918    13540  
 1763  58560   1    1        0      0.730866312981   673.18182373   20      1       5            4071    5467    5997    7934    8524   
 1765  58624   1    1        0      0.522180855274   609.304748535  20      0       5            2791    3706    4051    5280    14369  
 1770  58784   1    1        0      0.60431677103    824.44128418   20      0       5            3253    4356    4742    6125    16124  
 1782  59168   1    1        0      0.264582365751   571.725830078  20      1       5            1364    1874    2059    2766    6066   
 1805  59904   1    1        0      0.993622720242   703.062194824  20      0       5            5939    7898    8633    11252   18470  
 1836  60896   1    1        0      0.379859745502   720.41619873   20      1       5            1989    2642    2896    3833    10794  
 1837  60928   1    1        0      0.824508726597   724.681030273  20      0       5            4703    6320    6908    9081    13594  
 1848  61280   1    1        0      0.166596919298   940.279602051  20      1       5            856     1143    1275    1704    16511  
 1863  61760   1    1        0      1.01210212708    668.838989258  20      0       5            6093    8080    8785    11410   24678  
 1897  62848   1    1        0      0.48723629117    850.400146484  20      1       5            2580    3479    3892    5209    2283   
 1908  63200   1    1        0      0.0855903103948  776.730407715  20      1       5            457     624     704     960     23053  
 1925  63744   1    1        0      0.905697286129   850.456054688  20      0       3            5277    0       7777    10148   140    
