 BCID  TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z   tube_rho  drift_radius  
 1438  47234   145          13                 2           5          0             -318111  77167     163           
 1438  47234   145          13                 2           5          0             -318111  77167     163           
 1438  47242   284          36                 1           5          2             -608082  148807    142           
 1438  47242   284          36                 1           5          2             -608082  148807    142           
 1438  47243   234          34                 4           5          1             -481358  117416    156           
 1438  47243   234          34                 4           5          1             -481358  117416    156           
 1438  47328   297          49                 3           5          2             -632110  154776    212           
 1438  47328   297          49                 3           5          2             -632110  154776    212           
 1438  47356   144          12                 1           5          0             -315227  76751     249           
 1438  47356   144          12                 1           5          0             -315227  76751     249           
 1438  47399   153          21                 5           5          0             -333489  81200     271           
 1438  47399   153          21                 5           5          0             -333489  81200     271           
 1438  47429   236          36                 5           5          1             -484241  117832    278           
 1438  47429   236          36                 5           5          1             -484241  117832    278           
 1438  47452   220          20                 0           5          1             -453485  110615    291           
 1438  47452   220          20                 0           5          1             -453485  110615    291           
 1438  47488   283          35                 0           5          2             -605199  148391    300           
 1438  47488   283          35                 0           5          2             -605199  148391    300           
 1438  47581   221          21                 0           5          1             -455408  110615    346           
 1438  47581   221          21                 0           5          1             -455408  110615    346           
 1438  47717   284          36                 0           5          2             -607121  148391    386           
 1438  47717   284          36                 0           5          2             -607121  148391    386           
 1438  47734   299          51                 5           5          2             -635955  155608    390           
 1438  47734   299          51                 5           5          2             -635955  155608    390           
 1438  47745   154          22                 5           5          0             -335411  81200     404           
 1438  47745   154          22                 5           5          0             -335411  81200     404           
 1438  47750   235          35                 5           5          1             -482319  117832    400           
 1438  47750   235          35                 5           5          1             -482319  117832    400           
 1438  47809   145          13                 1           5          0             -317150  76751     423           
 1438  47809   145          13                 1           5          0             -317150  76751     423           
 1621  53253   46           16                 0           2          0             -112677  76334     277           
 1621  53806   46           16                 1           2          0             -111716  76751     465           
 1903  61986   166          6                  5           4          1             -348494  117832    0             
 1903  62005   107          11                 7           4          0             -243866  82032     49            
 1903  62010   98           2                  0           4          0             -226566  76334     53            
 1903  62013   196          20                 0           4          2             -436845  148391    25            
 1903  62020   157          53                 2           3          1             -330039  111447    49            
 1903  62021   99           3                  1           4          0             -227527  76751     65            
 1903  62062   165          5                  4           4          1             -347533  117416    96            
 1903  62093   196          20                 1           4          2             -437806  148807    118           
 1903  62113   156          52                 1           3          1             -329078  111031    154           
 1903  62113   207          31                 5           4          2             -457990  155608    137           
 1903  62129   99           3                  2           4          0             -228488  77167     180           
 1903  62164   165          5                  3           4          1             -346572  117000    196           
 1903  62206   197          21                 2           4          2             -438768  149223    217           
 1903  62222   105          9                  4           4          0             -239061  80783     243           
 1903  62237   206          30                 4           4          2             -457029  155192    235           
 1903  62262   156          52                 0           3          1             -328117  110615    259           
 1903  62312   100          4                  3           4          0             -229449  77583     290           
 1903  62359   107          11                 6           4          0             -242905  81616     310           
 1903  62429   206          30                 3           4          2             -456068  154776    328           
 1903  62474   105          9                  5           4          0             -240022  81200     355           
 1903  62677   106          10                 5           4          0             -241944  81200     420           
 1903  62831   106          10                 6           4          0             -240983  81616     463           
 1903  62831   205          29                 3           4          2             -454145  154776    456           
 1965  64271   179          17                 3           6          0             -383719  77583     276           
 1965  64271   179          17                 3           6          0             -383719  77583     276           
 2229  72421   22           22                 1           2          0             -64370   76751     34            
 2229  72421   22           22                 1           2          0             -64370   76751     34            
 2229  72445   24           24                 6           2          0             -68214   81616     59            
 2229  72445   24           24                 6           2          0             -68214   81616     59            
 2229  72447   38           38                 3           1          2             -129686  154776    35            
 2229  72447   38           38                 3           1          2             -129686  154776    35            
 2229  72496   37           37                 4           1          1             -98004   117416    106           
 2229  72496   37           37                 4           1          1             -98004   117416    106           
 2229  72498   34           34                 1           1          1             -92238   111031    111           
 2229  72498   34           34                 1           1          1             -92238   111031    111           
 2229  72519   35           35                 0           1          2             -123919  148391    121           
 2229  72519   35           35                 0           1          2             -123919  148391    121           
 2229  72571   35           35                 1           1          2             -124880  148807    173           
 2229  72571   35           35                 1           1          2             -124880  148807    173           
