 BCID  ToA     TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z   tube_rho  drift_radius  
 964   32780   32171   179          17                 2           6          0             -384680  77167     240           
 964   32787   32178   190          28                 5           6          0             -405824  81200     243           
 964   32796   32187   175          13                 0           6          0             -376991  76334     250           
 964   32837   32228   335          15                 2           6          2             -706274  149223    257           
 964   32841   32232   269          29                 1           6          1             -549827  111031    266           
 964   32863   32254   334          14                 0           6          2             -704352  148391    270           
 964   32866   32257   369          49                 4           6          2             -772591  155192    270           
 964   32868   32259   352          32                 1           6          2             -739913  148807    272           
 964   32885   32276   187          25                 4           6          0             -399096  80783     294           
 964   32889   32280   267          27                 2           6          1             -545021  111447    290           
 964   32935   32326   186          24                 4           6          0             -397174  80783     316           
 964   32942   32333   348          28                 4           6          2             -732224  155192    306           
 964   32953   32344   266          26                 0           6          1             -543099  110615    318           
 964   32976   32367   265          25                 0           6          1             -541176  110615    327           
 964   32988   32379   353          33                 1           6          2             -741836  148807    326           
 964   32990   32381   268          28                 1           6          1             -547904  111031    333           
 964   32990   32381   370          50                 4           6          2             -774514  155192    325           
 964   33001   32392   188          26                 6           6          0             -401019  81616     341           
 964   33034   32425   174          12                 0           6          0             -375068  76334     354           
 964   33053   32444   268          28                 2           6          1             -546943  111447    356           
 964   33063   32454   189          27                 5           6          0             -403902  81200     364           
 964   33080   32471   180          18                 2           6          0             -386602  77167     370           
 964   33090   32481   189          27                 5           6          0             -403902  81200     373           
 964   33119   32510   347          27                 4           6          2             -730302  155192    373           
 964   33227   32618   333          13                 0           6          2             -702430  148391    409           
 964   33245   32636   284          44                 3           6          1             -577699  117000    417           
 964   33260   32651   286          46                 4           6          1             -582505  117416    422           
 964   33267   32658   336          16                 2           6          2             -708196  149223    420           
 964   33270   32661   179          17                 3           6          0             -383719  77583     429           
 964   33292   32683   191          29                 7           6          0             -407747  82032     435           
 964   33304   32695   176          14                 2           6          0             -378913  77167     439           
 964   33310   32701   188          26                 5           6          0             -401980  81200     440           
 964   33315   32706   178          16                 0           6          0             -382757  76334     442           
 964   33385   32776   280          40                 4           6          1             -570971  117416    457           
 964   33415   32806   190          28                 7           6          0             -405824  82032     470           
 1019  34334   33725   39           9                  4           2          0             -98261   80783     62            
 1019  34340   33731   63           15                 4           2          1             -149155  117416    56            
 1019  34341   33732   36           6                  2           2          0             -93455   77167     71            
 1019  34347   33738   36           6                  1           2          0             -92494   76751     80            
 1019  34350   33741   59           11                 2           2          1             -140505  111447    70            
 1019  34395   33786   37           7                  3           2          0             -94416   77583     134           
 1019  34396   33787   64           16                 5           2          1             -150116  117832    122           
 1019  34400   33791   39           9                  5           2          0             -99222   81200     138           
 1019  34505   33896   63           15                 3           2          1             -148194  117000    217           
 1019  34546   33937   77           29                 3           2          2             -205825  154776    235           
 1019  34554   33945   58           10                 1           2          1             -139544  111031    248           
 1019  34611   34002   72           24                 2           2          2             -196214  149223    272           
