# --------------------------
# TS:0123456789
# Side:C Sector:3 Area:Barrel
# --------------------------
BCID,ToA,nTC,TC_sent,TC_id,Eta,Phi,pT_thr,Charge,Coincidence,z_RPC0,z_RPC1,z_RPC2,z_RPC3,event
2908,95200,1,1,0,-0.4674152135848999,841.7037353515625,20,1,5,-2481,-3267,-3600,-4680,18
2958,96800,1,1,0,-1.009210467338562,858.9783325195312,20,0,5,-6064,-8171,-8921,-11850,14
2970,97184,1,1,0,-0.6464151740074158,734.36669921875,20,0,2,-3533,-4715,0,-7020,26
2999,98112,1,1,0,-0.8991125226020813,750.6914672851562,20,0,5,-5219,-7011,-7746,-10284,38
3065,100224,1,1,0,-0.9708561897277832,820.108642578125,20,1,3,-5769,0,-8406,-10987,58
3073,100480,1,1,0,-0.4244762063026428,592.5324096679688,20,1,5,-2239,-2975,-3267,-4258,31
3126,102176,1,1,0,-1.0369468927383423,961.3674926757812,20,1,3,-6284,0,-9103,-11903,19
3149,102912,1,1,0,-0.5740504264831543,961.2376098632812,20,1,5,-3099,-4130,-4503,-5966,57
3177,103808,1,1,0,-0.33878323435783386,815.723388671875,20,0,5,-1753,-2351,-2589,-3442,109
3199,104512,1,1,0,-0.7614507675170898,889.1075439453125,20,1,5,-4269,-5717,-6232,-8070,95
3286,107296,1,1,0,-0.9659533500671387,660.3848876953125,20,0,5,-5732,-7716,-8436,-11269,105
3316,108256,1,1,0,-0.8777301907539368,802.7634887695312,20,1,5,-5077,-6820,-7437,-9723,93
3382,110368,1,1,0,-0.1793103814125061,673.176513671875,20,1,5,-929,-1229,-1320,-1694,48
3392,110688,1,1,0,-0.9340776801109314,978.3510131835938,20,0,5,-5505,-7378,-8110,-10704,67
3401,110976,1,1,0,-0.7985450029373169,626.0707397460938,20,0,5,-4511,-6055,-6643,-8877,114
3443,112320,1,1,0,-0.2769274413585663,651.7734985351562,20,0,5,-1423,-1927,-2126,-2817,16
3444,112352,1,1,0,-0.2597350776195526,551.3397216796875,20,0,2,-1349,-1805,0,-2664,107
3450,112544,1,1,0,-0.8340762257575989,588.2431640625,20,0,5,-4769,-6408,-7011,-9268,20
3513,114560,1,1,0,-0.5214045643806458,630.6611938476562,20,1,5,-2783,-3706,-4077,-5315,1
3549,115712,1,1,0,-0.7147915363311768,948.8832397460938,20,0,5,-3961,-5350,-5879,-7781,66
3561,116096,1,1,0,-0.2770436108112335,952.9999389648438,20,1,3,-1423,0,-2086,-2698,83
3571,116416,1,1,0,-0.3635101914405823,889.103515625,20,0,5,-1907,-2576,-2843,-3816,42
3592,117088,1,1,0,-0.8190196752548218,952.5973510742188,20,1,5,-4667,-6217,-6776,-8843,117
3601,117376,1,1,0,-0.8760055899620056,956.9412231445312,20,0,5,-5063,-6849,-7496,-9995,30
3615,117824,1,1,0,-0.20917654037475586,944.48583984375,20,1,5,-1083,-1441,-1562,-1936,112
3617,117888,1,1,0,-0.6323652863502502,807.7960815429688,20,1,5,-3467,-4543,-4993,-6510,62
3650,118944,1,1,0,-0.11579041182994843,596.9386596679688,20,1,5,-589,-781,-842,-1049,68
3670,119584,1,1,0,-0.46562498807907104,1002.7858276367188,20,1,5,-2470,-3267,-3574,-4574,92
3691,120256,1,1,0,-0.14512225985527039,596.90234375,20,0,5,-739,-1024,-1138,-1564,41
3733,121600,1,1,0,-0.234431654214859,815.725341796875,20,1,5,-1212,-1623,-1774,-2254,75
3742,121888,1,1,0,-0.06796696037054062,747.0107421875,20,1,1,-347,-418,-448,0,23
3743,121920,1,1,0,-0.7806675434112549,789.7308959960938,20,1,5,-4401,-5835,-6379,-8308,28
3780,123104,1,1,0,-0.2387334257364273,935.9876708984375,20,1,5,-1223,-1623,-1774,-2358,104
3789,123392,1,1,0,-0.4360378384590149,555.3834838867188,20,0,2,-2290,-3068,0,-4609,5
3850,125344,1,1,0,-0.9839701056480408,567.7286376953125,20,1,5,-5866,-7807,-8497,-11093,43
3933,128000,1,1,0,-0.5551254749298096,572.1461791992188,20,1,5,-2989,-3971,-4342,-5560,80
3953,128640,2,1,0,-0.9021456241607666,555.1868896484375,20,1,2,-5255,-7025,0,-10012,2
3953,128640,2,1,1,-0.3144232928752899,698.8554077148438,20,0,5,-1628,-2205,-2430,-3276,99
4009,130432,1,1,0,-0.9965492486953735,563.2450561523438,20,1,5,-5961,-7958,-8648,-11269,103
4013,130560,1,1,0,-0.371812641620636,630.4512939453125,20,0,5,-1936,-2589,-2843,-3782,110
4014,130592,1,1,0,-0.1329701989889145,572.0079345703125,20,1,5,-677,-903,-993,-1231,10
4024,130912,1,1,0,-0.6855000257492065,622.8886108398438,20,1,5,-3782,-5020,-5511,-7258,6
4061,132096,1,1,0,-0.6713725328445435,644.1212768554688,20,1,5,-3687,-4887,-5335,-6918,96
4068,132320,1,1,0,-0.3222710192203522,1002.853271484375,20,1,5,-1676,-2218,-2430,-3140,52
4095,133184,1,1,0,-0.12008440494537354,876.166748046875,20,1,5,-618,-842,-933,-1170,100
