sw_slcid,sw_slid,sw_bcid,sw_eta,sw_pt,sw_ptthresh,sw_charge,sw_nsegments,sw_quality,off_pt, off_eta, off_match
0,0,3298,1750,32,15,1,3,0,20.547321,0.852519,1
1,0,3298,1750,32,15,1,3,0,20.547321,0.852519,1
0,0,1148,1489,25,10,1,3,0,13.030916,0.714150,1
1,0,1148,1489,27,15,-1,2,0,13.030916,0.714150,1
0,0,2148,249,46,20,1,3,0,20.106947,0.100174,1
0,0,2598,894,51,20,1,3,0,33.327000,0.422831,1
0,0,3548,1995,59,20,1,3,0,36.257496,0.972561,1
1,0,3548,1995,82,20,1,3,0,36.257496,0.972561,1
0,0,498,1305,65,20,1,2,0,35.872326,0.616733,1
0,0,1898,0,0,0,1,0,0,6.585783,0.809414,1
0,0,448,72,72,20,1,2,0,47.051193,0.039906,1
0,0,2098,1319,68,20,1,3,0,40.043755,0.650611,1
1,0,2098,1319,68,20,1,3,0,40.043755,0.650611,1
0,0,1348,827,67,20,1,3,0,44.549915,0.415535,1
1,0,1348,827,70,20,1,3,0,44.549915,0.415535,1
0,0,2648,0,0,0,1,0,0,28.060696,0.778091,1
1,0,2648,1584,2291,20,1,3,0,28.060696,0.778091,1
0,0,898,562,54,20,1,3,0,31.299568,0.268793,1
1,0,898,562,54,20,1,3,0,31.299568,0.268793,1
0,0,2898,885,54,20,1,3,0,33.464325,0.442167,1
1,0,2898,884,54,20,1,3,0,33.464325,0.442167,1
0,0,3248,789,28,15,1,3,0,14.149977,0.375101,1
1,0,3248,789,30,15,1,3,0,14.149977,0.375101,1
0,0,1298,674,31,15,1,3,0,16.451946,0.321963,1
0,0,2248,1423,74,20,1,3,0,46.773720,0.673681,1
1,0,2248,1424,116,20,-1,2,0,46.773720,0.673681,1
0,0,948,1552,99,20,-1,2,0,42.289703,0.746749,1
1,0,948,1552,73,20,1,3,0,42.289703,0.746749,1
0,0,2248,176,88,20,1,3,0,40.180561,0.088268,1
1,0,2248,176,88,20,1,3,0,40.180561,0.088268,1
0,0,1048,2122,30,15,-1,2,0,15.589751,1.032480,1
1,0,1048,2122,26,15,1,3,0,15.589751,1.032480,1
0,0,2948,754,50,20,1,2,0,29.609377,0.382521,1
1,0,2948,754,69,20,1,3,0,29.609377,0.382521,1
0,0,3548,510,98,20,1,3,0,39.551075,0.261714,1
1,0,3548,510,103,20,1,3,0,39.551075,0.261714,1
0,0,1098,1897,83,20,1,3,0,41.556793,0.920912,1
1,0,1098,1897,86,20,1,3,0,41.556793,0.920912,1
0,0,2448,849,34,15,1,3,0,16.643406,0.408420,1
1,0,2448,849,34,15,1,3,0,16.643406,0.408420,1
0,0,1748,99,63,20,-1,2,0,30.214546,0.048258,1
0,0,2098,2006,66,20,1,3,0,30.928652,0.991642,1
1,0,2098,2006,60,20,1,2,0,30.928652,0.991642,1
0,0,2098,124,57,20,1,2,0,32.891289,0.043277,1
0,0,148,1252,63,20,1,3,0,35.029617,0.590968,1
0,0,1498,2058,40,20,1,3,0,23.304543,1.004117,1
1,0,1498,2058,48,20,1,3,0,23.304543,1.004117,1
0,0,1848,1003,18,10,-1,2,0,9.960292,0.468284,1
0,0,2098,1191,34,15,1,3,0,19.349228,0.579734,1
1,0,2098,1191,34,15,1,3,0,19.349228,0.579734,1
0,0,1398,1788,60,20,1,3,0,41.748703,0.868818,1
1,0,1398,1788,60,20,1,3,0,41.748703,0.868818,1
0,0,3398,1765,70,20,1,3,0,36.052177,0.863850,1
1,0,3398,1765,65,20,1,2,0,36.052177,0.863850,1
0,0,1198,1389,22,10,1,2,0,11.708963,0.683994,1
0,0,2548,1657,72,20,1,3,0,47.619247,0.797763,1
1,0,2548,1657,72,20,1,3,0,47.619247,0.797763,1
0,0,3448,2086,56,20,1,3,0,28.514833,1.013372,1
1,0,3448,2086,56,20,1,3,0,28.514833,1.013372,1
0,0,248,147,19,10,-1,2,0,8.863828,0.073544,1
0,0,648,1495,51,20,1,3,0,23.987452,0.697773,1
1,0,648,1495,51,20,1,3,0,23.987452,0.697773,1
0,0,2348,1215,90,20,1,3,0,39.833218,0.600331,1
1,0,2348,1215,116,20,1,3,0,39.833218,0.600331,1
0,0,2398,1560,65,20,1,3,0,37.429550,0.748502,1
1,0,2398,1560,65,20,1,3,0,37.429550,0.748502,1
0,0,1398,453,65,20,1,3,0,37.028690,0.224162,1
1,0,1398,453,66,20,1,3,0,37.028690,0.224162,1
0,0,1698,1561,55,20,1,3,0,36.623653,0.755542,1
1,0,1698,1561,55,20,1,3,0,36.623653,0.755542,1
0,0,3448,1201,69,20,1,3,0,46.671249,0.590102,1
1,0,3448,1201,69,20,1,3,0,46.671249,0.590102,1
0,0,898,0,0,0,1,0,0,6.089819,0.876332,1
0,0,3198,1449,86,20,1,3,0,37.804230,0.695112,1
1,0,3198,1449,86,20,1,3,0,37.804230,0.695112,1
0,0,2848,1500,21,10,-1,2,0,10.412723,0.728305,1
0,0,898,1381,40,20,1,3,0,34.861355,0.659528,1
1,0,898,1381,81,20,1,3,0,34.861355,0.659528,1
0,0,2398,1074,73,20,1,3,0,45.183208,0.534022,1
1,0,2398,1074,77,20,1,3,0,45.183208,0.534022,1
0,0,498,598,12,5,-1,2,0,12.980738,0.297852,1
0,0,1198,0,0,0,1,0,0,10.524087,0.685655,1
1,0,1198,0,0,0,1,0,0,10.524087,0.685655,1
0,0,1998,609,64,20,1,3,0,46.786907,0.305276,1
1,0,1998,609,64,20,1,3,0,46.786907,0.305276,1
0,0,2298,303,103,20,1,3,0,47.933540,0.147847,1
1,0,2298,303,103,20,1,3,0,47.933540,0.147847,1
0,0,2298,1747,68,20,1,3,0,31.966776,0.834500,1
1,0,2298,1747,73,20,1,3,0,31.966776,0.834500,1
0,0,448,351,89,20,1,3,0,47.414230,0.170299,1
1,0,448,351,89,20,1,3,0,47.414230,0.170299,1
0,0,3198,384,42,20,1,3,0,22.394512,0.182962,1
1,0,3198,384,42,20,1,3,0,22.394512,0.182962,1
0,0,2598,578,107,20,1,3,0,44.474400,0.271653,1
1,0,2598,578,107,20,1,3,0,44.474400,0.271653,1
0,0,1798,444,31,15,1,2,0,15.869864,0.217783,1
1,0,1798,444,33,15,1,3,0,15.869864,0.217783,1
0,0,498,2132,198,20,1,2,0,40.599014,1.021431,1
0,0,1198,1171,15,5,-1,2,0,9.368026,0.559704,1
0,0,1048,1486,15,5,1,2,0,7.113828,0.743805,1
1,0,1048,1486,15,5,1,2,0,7.113828,0.743805,1
0,0,898,705,47,20,1,3,0,22.957878,0.341788,1
1,0,898,705,47,20,1,3,0,22.957878,0.341788,1
0,0,2948,843,59,20,1,3,0,27.991047,0.392782,1
1,0,2948,843,59,20,1,3,0,27.991047,0.392782,1
0,0,1798,1604,156,20,1,3,0,47.935596,0.781642,1
1,0,1798,1604,156,20,1,3,0,47.935596,0.781642,1
0,0,3098,1534,25,15,1,2,0,12.701683,0.735306,1
1,0,3098,1534,27,15,1,3,0,12.701683,0.735306,1
0,0,498,1998,21,10,1,2,0,10.283043,0.963324,1
0,0,598,309,33,15,1,3,0,16.229439,0.148611,1
1,0,598,309,36,20,1,2,0,16.229439,0.148611,1
0,0,448,47,36,20,1,2,0,21.563238,0.021007,1
0,0,598,2025,103,20,1,2,0,49.773849,1.004543,1
1,0,598,2025,113,20,1,3,0,49.773849,1.004543,1
0,0,148,2010,41,20,1,3,0,27.292048,0.971630,1
1,0,148,2010,41,20,1,3,0,27.292048,0.971630,1
0,0,3298,1426,168,20,1,3,0,33.567871,0.682516,1
0,0,448,505,124,20,1,3,0,35.460457,0.229721,1
0,0,548,1529,33,20,1,2,0,20.550915,0.737664,1
1,0,548,1529,35,15,1,3,0,20.550915,0.737664,1
0,0,898,1249,182,20,1,3,0,43.835899,0.606551,1
0,0,348,1131,110,20,1,3,0,42.512779,0.553842,1
1,0,348,1131,112,20,1,3,0,42.512779,0.553842,1
0,0,598,791,15,5,-1,2,0,7.089422,0.339937,1
0,0,948,1916,79,20,1,3,0,34.278149,0.922086,1
1,0,948,1916,79,20,1,3,0,34.278149,0.922086,1
0,0,1398,396,85,20,1,3,0,44.659241,0.191648,1
1,0,1398,396,82,20,1,3,0,44.659241,0.191648,1
0,0,1848,1419,54,20,1,3,0,30.758883,0.681472,1
0,0,1748,1884,59,20,1,3,0,41.131596,0.929472,1
1,0,1748,1884,59,20,1,3,0,41.131596,0.929472,1
0,0,3398,238,50,20,1,3,0,21.428913,0.104026,1
1,0,3398,238,50,20,1,3,0,21.428913,0.104026,1
0,0,898,1772,30,15,1,3,0,17.744324,0.842505,1
0,0,1548,1645,49,20,1,3,0,21.048510,0.794830,1
1,0,1548,1645,38,20,1,2,0,21.048510,0.794830,1
0,0,3548,1339,50,20,1,3,0,17.975119,0.672734,1
1,0,3548,1341,45,20,1,3,0,17.975119,0.672734,1
0,0,398,860,46,20,1,3,0,29.765656,0.423046,1
1,0,398,860,46,20,1,3,0,29.765656,0.423046,1
0,0,1648,827,99,20,1,3,0,42.042492,0.389797,1
1,0,1648,827,92,20,1,3,0,42.042492,0.389797,1
0,0,898,709,145,20,1,3,0,47.212406,0.338601,1
1,0,898,709,145,20,1,3,0,47.212406,0.338601,1
0,0,1498,1786,34,15,1,2,0,18.798708,0.879600,1
1,0,1498,1786,36,20,1,3,0,18.798708,0.879600,1
0,0,1348,1525,37,20,-1,2,0,23.704910,0.724531,1
1,0,1348,1525,42,20,1,3,0,23.704910,0.724531,1
0,0,1598,2048,45,20,1,3,0,21.774206,1.003913,1
1,0,1598,2048,39,20,1,2,0,21.774206,1.003913,1
0,0,2198,253,48,20,1,3,0,25.044760,0.130210,1
1,0,2198,253,48,20,1,3,0,25.044760,0.130210,1
0,0,2848,424,65,20,1,3,0,46.625301,0.203228,1
1,0,2848,424,68,20,1,3,0,46.625301,0.203228,1
0,0,48,346,25,10,1,3,0,12.428274,0.170318,1
1,0,48,346,25,10,1,3,0,12.428274,0.170318,1
0,0,1898,273,53,20,1,3,0,30.833271,0.118938,1
1,0,1898,273,53,20,1,3,0,30.833271,0.118938,1
0,0,2848,1874,44,20,1,3,0,27.560835,0.901863,1
1,0,2848,1874,44,20,1,3,0,27.560835,0.901863,1
0,0,3148,911,40,20,1,3,0,19.359413,0.418903,1
0,0,1348,889,11,5,1,2,0,9.134631,0.413653,1
0,0,2598,1440,114,20,1,3,0,41.359798,0.693341,1
1,0,2598,1440,114,20,1,3,0,41.359798,0.693341,1
0,0,498,1724,30,15,1,2,0,16.204082,0.852555,1
1,0,498,1724,32,15,1,3,0,16.204082,0.852555,1
0,0,548,0,0,0,1,0,0,8.959220,0.948104,1
0,0,1848,1315,53,20,1,3,0,23.917131,0.638723,1
