sw_slcid,sw_slid,sw_bcid,sw_seg_pos,sw_seg_angle,sw_seg_quality,sw_local_pos,sw_local_slope,sw_chamber_id,sw_chamber_ieta,offline_pos,offline_angle
0,0,0,33867,1663,1,2850,1761,2,0,4233.610840,1.1644
0,0,0,30173,2638,1,2586,3077,0,0,3772.069092,0.9260
0,0,0,43137,2569,1,2175,2970,1,0,5392.505371,0.9430
0,0,0,56641,2517,1,2557,2891,2,0,7080.583496,0.9557
0,0,0,30173,2638,1,2586,3077,0,0,3772.069092,0.9260
0,0,0,43139,2571,1,1696,2973,1,0,5392.505371,0.9430
0,0,0,41417,3268,1,2783,4201,0,0,5177.268555,0.7718
0,0,0,59288,3238,1,2516,4140,1,0,7411.413086,0.7795
0,0,0,78269,3214,1,2115,4091,2,0,9784.047852,0.7856
0,0,0,41418,3272,1,2297,4209,0,0,5177.268555,0.7718
0,0,0,59288,3238,1,1556,4139,1,0,7411.413086,0.7795
0,0,0,78299,3244,1,197,4151,2,0,9784.047852,0.7856
0,0,0,42644,3379,1,2656,4435,0,0,5330.793945,0.7452
0,0,0,61827,3424,1,2899,4534,1,0,7728.440918,0.7344
0,0,0,42644,3379,1,2176,4435,0,0,5330.793945,0.7452
0,0,0,61825,3423,1,2417,4532,1,0,7728.440918,0.7344
0,0,0,82915,3453,1,2281,4599,2,0,10364.966797,0.7271
0,0,0,12679,1304,1,2659,1350,0,0,1585.612427,1.2545
0,0,0,17268,780,1,1312,790,1,0,2158.415771,1.3787
0,0,0,6634,712,1,2400,720,0,0,829.358887,1.3968
0,0,0,9810,757,1,3045,766,1,0,1226.472900,1.3856
0,0,0,13439,784,1,2589,794,2,0,1679.680908,1.3766
0,0,0,5358,538,1,2865,542,0,0,669.953552,1.4387
0,0,0,7746,571,1,2941,575,1,0,968.486938,1.4317
0,0,0,10453,593,1,3048,598,2,0,1306.869507,1.4257
0,0,0,11507,1211,1,2039,1248,0,0,1438.587891,1.2749
0,0,0,17069,1305,1,2789,1352,1,0,2134.041504,1.2517
0,0,0,23524,1378,1,2655,1433,2,0,2940.781250,1.2340
0,0,0,11508,1211,1,2619,1248,0,0,1438.587891,1.2749
0,0,0,17070,1305,1,3270,1352,1,0,2134.041504,1.2517
0,0,0,4949,429,1,2613,431,0,0,618.826233,1.4649
0,0,0,6570,314,1,1796,315,1,0,-9999.000000,1.5707
0,0,0,19963,1883,1,2780,2028,0,0,2495.766113,1.1100
0,0,0,28624,1972,1,2571,2141,1,0,-9999.000000,1.5707
0,0,0,37633,1822,1,2033,1953,2,0,4704.415039,1.1258
0,0,0,9601,864,1,2929,878,0,0,1200.350098,1.3592
0,0,0,13296,838,1,2731,850,1,0,1662.238770,1.3663
0,0,0,17148,812,1,2291,823,2,0,2143.776855,1.3721
0,0,0,2510,177,1,2455,178,1,0,314.081635,1.5272
0,0,0,3266,151,1,2548,152,2,0,408.410797,1.5334
0,0,0,19881,1906,1,2593,2057,0,0,2485.612549,1.1048
0,0,0,28473,1822,1,2445,1953,1,0,3559.572021,1.1253
0,0,0,37277,1755,1,2359,1871,2,0,4659.801758,1.1420
0,0,0,19881,1906,1,2593,2057,0,0,2485.612549,1.1048
0,0,0,28475,1824,1,2447,1955,1,0,3559.572021,1.1253
0,0,0,37277,1754,1,698,1870,2,0,4659.801758,1.1420
0,0,0,24902,2326,1,2304,2614,0,0,3113.092041,1.0021
0,0,0,36382,2428,1,2318,2760,1,0,4547.953125,0.9776
0,0,0,49486,2520,1,2468,2895,2,0,6185.488770,0.9541
0,0,0,22667,2070,1,2421,2267,0,0,2833.618408,1.0643
0,0,0,32046,1951,1,2423,2114,1,0,4005.941895,1.0941
0,0,0,41474,1844,1,2681,1980,2,0,5184.622559,1.1201
0,0,0,22667,2072,1,2420,2270,0,0,2833.618408,1.0643
0,0,0,32046,1952,1,1462,2115,1,0,4005.941895,1.0941
0,0,0,46098,3521,1,2596,4755,0,0,5763.302246,0.7100
0,0,0,66256,3474,1,2703,4647,1,0,8283.040039,0.7214
0,0,0,87516,3442,1,2377,4573,2,0,10939.844727,0.7302
0,0,0,46102,3523,1,2119,4760,0,0,5763.302246,0.7100
0,0,0,66257,3484,1,1724,4670,1,0,8283.040039,0.7214
