sw_slcid,sw_slid,sw_bcid,sw_seg_pos,sw_seg_angle,sw_seg_quality,sw_local_pos,sw_local_slope,sw_chamber_id,sw_chamber_ieta,offline_pos,offline_angle
0,0,0,78270,3218,1,2116,4093,2,0,9784.047852,0.7856
0,0,0,41417,3165,1,2302,4201,0,0,5177.268555,0.7718
0,0,0,59283,3199,1,1553,4132,1,0,7411.413086,0.7795
0,0,0,42644,3054,1,2656,4435,0,0,5330.793945,0.7452
0,0,0,61825,3010,1,2897,4532,1,0,7728.440918,0.7344
0,0,0,42644,3054,1,2176,4435,0,0,5330.793945,0.7452
0,0,0,61825,3010,1,2417,4532,1,0,7728.440918,0.7344
0,0,0,82915,2980,1,2281,4599,2,0,10364.966797,0.7271
0,0,0,12680,5134,1,2664,1345,0,0,1585.612427,1.2545
0,0,0,6634,5721,1,2400,720,0,0,829.358887,1.3968
0,0,0,9720,5456,1,2649,996,1,0,1226.472900,1.3856
0,0,0,13436,5639,1,2572,805,2,0,1679.680908,1.3766
0,0,0,5358,5895,1,2865,542,0,0,669.953552,1.4387
0,0,0,7745,5863,1,2940,574,1,0,968.486938,1.4317
0,0,0,10453,5840,1,3048,598,2,0,1306.869507,1.4257
0,0,0,11507,5222,1,2038,1248,0,0,1438.587891,1.2749
0,0,0,17065,5116,1,2768,1365,1,0,2134.041504,1.2517
0,0,0,23524,5055,1,2655,1433,2,0,2940.781250,1.2340
0,0,0,11506,5222,1,2616,1248,0,0,1438.587891,1.2749
0,0,0,16962,5337,1,3270,1123,1,0,2134.041504,1.2517
0,0,0,4948,6001,1,2609,434,0,0,618.826233,1.4649
0,0,0,6577,6104,1,1796,330,1,0,-9999.000000,1.5707
0,0,0,19963,4550,1,2780,2028,0,0,2495.766113,1.1100
0,0,0,28549,4602,1,2587,1964,1,0,-9999.000000,1.5707
0,0,0,37633,4611,1,2033,1953,2,0,4704.415039,1.1258
0,0,0,9602,5568,1,2930,879,0,0,1200.350098,1.3592
0,0,0,13291,5606,1,2730,839,1,0,1662.238770,1.3663
0,0,0,17144,5630,1,2290,814,2,0,2143.776855,1.3721
0,0,0,2510,6256,1,2455,178,1,0,314.081635,1.5272
0,0,0,3266,6282,1,2548,152,2,0,408.410797,1.5334
0,0,0,19881,4527,1,2593,2057,0,0,2485.612549,1.1048
0,0,0,28473,4611,1,2445,1953,1,0,3559.572021,1.1253
0,0,0,37273,4667,1,2337,1885,2,0,4659.801758,1.1420
0,0,0,19881,4527,1,2593,2057,0,0,2485.612549,1.1048
0,0,0,28475,4610,1,2448,1954,1,0,3559.572021,1.1253
0,0,0,24902,4108,1,2305,2613,0,0,3113.092041,1.0021
0,0,0,36371,3989,1,2275,2783,1,0,4547.953125,0.9776
0,0,0,49481,3909,1,2451,2902,2,0,6185.488770,0.9541
0,0,0,22664,4369,1,2422,2259,0,0,2833.618408,1.0643
