 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  event  
 1601  53376   1    1        0      0.428139597178   876.214660645  20      0       5            2250    2975    3240    4156    15455  
 1626  54176   2    1        0      0.427771657705   768.05279541   20      0       5            2261    2949    3240    4156    12205  
 1626  54176   2    1        1      0.0523956492543  835.48260498   20      0       4            0       359     386     518     20309  
 1638  54560   1    1        0      0.824508726597   724.681030273  20      0       5            4703    6320    6908    9081    13594  
 1677  55808   1    1        0      0.737877130508   660.3125       20      1       5            4115    5497    6055    8087    1283   
 1683  56000   1    1        0      0.187925174832   622.077819824  20      0       5            959     1275    1381    1738    21622  
 1708  56800   1    1        0      0.179278224707   720.484863281  20      0       5            915     1196    1302    1636    22703  
 1741  57856   2    1        0      0.42804479599    677.432006836  20      1       5            2261    3028    3346    4539    5628   
 1741  57856   2    1        1      0.824287652969   707.421142578  20      1       2            4703    6291    0       9183    19645  
 1744  57952   1    1        0      0.942583620548   871.836181641  20      0       5            5556    7422    8140    10687   11322  
 1763  58560   1    1        0      0.951602816582   910.433837891  20      1       2            5622    7525    0       10969   2299   
 1764  58592   2    1        0      0.67391782999    799.377563477  20      0       5            3709    4927    5409    7088    1228   
 1764  58592   2    1        1      0.46687707305    703.304870605  20      0       5            2466    3280    3627    4715    14891  
 1785  59264   1    1        0      0.784762561321   854.697570801  20      0       2            4430    5908    0       8537    21578  
 1800  59744   1    1        0      0.342649877071   720.531494141  20      1       5            1775    2377    2616    3459    17179  
 1813  60160   1    1        0      0.111464157701   643.344421387  20      0       5            567     757     836     1096    14573  
 1837  60928   1    1        0      0.803681790829   1019.60479736  20      1       2            4557    6114    0       8877    2171   
 1853  61440   1    1        0      0.120139203966   1019.51647949  20      0       2            611     810     0       1096    24412  
 1864  61792   1    1        0      0.342939525843   833.039611816  20      0       5            1797    2404    2642    3442    1614   
 1893  62720   1    1        0      0.251379013062   656.052185059  20      1       5            1311    1752    1953    2562    7432   
 1900  62944   1    1        0      0.482404351234   802.717773438  20      1       5            2554    3426    3786    5050    11361  
 1940  64224   1    1        0      0.680396854877   589.295288086  20      1       5            3731    4980    5482    7290    19928  
 1957  64768   1    1        0      0.289244502783   961.234008789  20      1       5            1489    2006    2218    2970    12106  
 1985  65664   1    1        0      0.827662050724   750.67578125   20      1       5            4711    6291    6893    9183    2118   
 2000  66144   1    1        0      0.91335940361    720.462524414  20      1       2            5329    7172    0       10437   12334  
 2006  66336   1    1        0      0.40440261364    990.714599609  20      1       5            2121    2843    3134    4122    8936   
 2015  66624   1    1        0      1.051841259      807.114929199  20      0       3            6409    0       9334    12079   5673   
 2035  67264   1    1        0      0.993622720242   703.062194824  20      0       5            5939    7898    8633    11252   18470  
 2039  67392   1    1        0      0.695373117924   962.312805176  20      1       5            3841    5113    5644    7475    24114  
 2042  67488   1    1        0      0.790381550789   956.97869873   20      0       2            4467    5923    0       8452    21179  
 2050  67744   2    1        0      0.955016314983   833.07043457   20      1       5            5644    7555    8352    11040   3497   
 2050  67744   2    1        1      0.70182621479    924.149291992  20      0       5            3877    5166    5703    7458    9109   
 2056  67936   1    1        0      0.08562245965    755.058105469  20      0       5            442     598     651     824     1348   
 2083  68800   1    1        0      0.942926585674   703.223999023  20      1       2            5556    7452    0       10863   4215   
 2109  69632   1    1        0      0.264582365751   571.725830078  20      1       5            1364    1874    2059    2766    6066   
 2133  70400   1    1        0      0.471760749817   811.433410645  20      0       5            2495    3320    3653    4786    6045   
 2166  71456   1    1        0      0.804353117943   789.737548828  20      1       5            4556    6129    6702    8928    1134   
 2175  71744   1    1        0      0.559368729591   858.963928223  20      1       5            2996    4011    4384    5825    12999  
 2201  72576   1    1        0      0.313532710075   977.632507324  20      1       5            1628    2192    2430    3225    10120  
 2225  73344   1    1        0      0.98469388485    555.146789551  20      1       2            5873    7852    0       11426   23821  
 2229  73472   1    1        0      0.611490607262   680.346496582  20      1       4            0       4437    4901    6578    8389   
 2251  74176   1    1        0      0.804882228374   605.017028809  20      1       5            4556    6144    6731    8979    23304  
 2261  74496   1    1        0      0.591918706894   1015.63189697  20      1       2            3187    4316    0       6340    10124  
 2270  74784   1    1        0      0.723257422447   763.696350098  20      1       5            4027    5438    5967    7951    3189   
